Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Lipidation
P48302,reviewed,EDNRB_MOUSE,Endothelin receptor type B (ET-B) (ET-BR) (Endothelin receptor non-selective type),Ednrb,Mus musculus (Mouse),442,"LIPID 402; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255""; LIPID 403; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255""; LIPID 405; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P48320,reviewed,DCE2_MOUSE,Glutamate decarboxylase 2 (EC 4.1.1.15) (65 kDa glutamic acid decarboxylase) (GAD-65) (Glutamate decarboxylase 65 kDa isoform),Gad2 Gad65,Mus musculus (Mouse),585,"LIPID 30; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 45; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P48614,reviewed,WN10B_MOUSE,Protein Wnt-10b (Protein Wnt-12),Wnt10b Wnt-10b Wnt10 Wnt12,Mus musculus (Mouse),389,"LIPID 253; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P48615,reviewed,WNT11_MOUSE,Protein Wnt-11,Wnt11 Wnt-11,Mus musculus (Mouse),354,"LIPID 215; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P48678,reviewed,LMNA_MOUSE,Prelamin-A/C [Cleaved into: Lamin-A/C],Lmna Lmn1,Mus musculus (Mouse),665,"LIPID 662; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P02545"""
P49222,reviewed,EPB42_MOUSE,Protein 4.2 (P4.2) (Erythrocyte membrane protein band 4.2) (Erythrocyte protein 4.2),Epb42 Epb4.2,Mus musculus (Mouse),691,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P49443,reviewed,PPM1A_MOUSE,Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA),Ppm1a Pppm1a,Mus musculus (Mouse),382,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000269|PubMed:23088624"""
P49817,reviewed,CAV1_MOUSE,Caveolin-1,Cav1 Cav,Mus musculus (Mouse),178,"LIPID 133; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 143; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 156; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P50149,reviewed,GNAT2_MOUSE,Guanine nucleotide-binding protein G(t) subunit alpha-2 (Transducin alpha-2 chain),Gnat2,Mus musculus (Mouse),354,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P51150,reviewed,RAB7A_MOUSE,Ras-related protein Rab-7a (EC 3.6.5.2),Rab7a Rab7,Mus musculus (Mouse),207,"LIPID 205; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 207; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P51436,reviewed,DRD4_MOUSE,D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor),Drd4,Mus musculus (Mouse),387,"LIPID 387; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P21917"""
P51655,reviewed,GPC4_MOUSE,Glypican-4 (K-glypican) [Cleaved into: Secreted glypican-4],Gpc4,Mus musculus (Mouse),557,"LIPID 529; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
P51682,reviewed,CCR5_MOUSE,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (MIP-1 alpha receptor) (CD antigen CD195),Ccr5 Cmkbr5,Mus musculus (Mouse),354,"LIPID 323; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P51681""; LIPID 326; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P51681"""
P51865,reviewed,TDGF1_MOUSE,Teratocarcinoma-derived growth factor (Cripto growth factor) (Epidermal growth factor-like Cripto protein),Cripto Tdgf1,Mus musculus (Mouse),171,"LIPID 134; /note=""GPI-anchor amidated aspartate""; /evidence=""ECO:0000250"""
P52592,reviewed,S1PR2_MOUSE,Sphingosine 1-phosphate receptor 2 (S1P receptor 2) (S1P2) (Endothelial differentiation G-protein coupled receptor 5) (Lysophospholipid receptor B2) (Sphingosine 1-phosphate receptor Edg-5) (S1P receptor Edg-5),S1pr2 Edg5 Gpcr13 Lpb2,Mus musculus (Mouse),352,"LIPID 305; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P52793,reviewed,EFNA1_MOUSE,"Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) [Cleaved into: Ephrin-A1, secreted form]",Efna1 Epgl1 Epl1 Lerk1,Mus musculus (Mouse),205,"LIPID 182; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
P52801,reviewed,EFNA2_MOUSE,Ephrin-A2 (CEK7-ligand) (CEK7-L) (ELF-1) (EPH-related receptor tyrosine kinase ligand 6) (LERK-6),Efna2 Elf1 Epl6 Eplg6 Lerk6,Mus musculus (Mouse),209,"LIPID 184; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
P53994,reviewed,RAB2A_MOUSE,Ras-related protein Rab-2A (EC 3.6.5.2),Rab2a Rab2,Mus musculus (Mouse),212,"LIPID 211; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 212; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P54116,reviewed,STOM_MOUSE,Stomatin (Erythrocyte band 7 integral membrane protein) (Erythrocyte membrane protein band 7.2) (Protein 7.2b),Stom Epb7.2 Epb72,Mus musculus (Mouse),284,"LIPID 30; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 87; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P55086,reviewed,PAR2_MOUSE,Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1),F2rl1 Gpcr11 Gpr11 Par2,Mus musculus (Mouse),399,"LIPID 363; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P55088,reviewed,AQP4_MOUSE,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),Aqp4,Mus musculus (Mouse),323,"LIPID 13; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P47863""; LIPID 17; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P47863"""
P55258,reviewed,RAB8A_MOUSE,Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel),Rab8a Mel Rab8,Mus musculus (Mouse),207,"LIPID 204; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P55821,reviewed,STMN2_MOUSE,Stathmin-2 (Superior cervical ganglion-10 protein) (Protein SCG10),Stmn2 Scg10 Scgn10 Stmb2,Mus musculus (Mouse),179,"LIPID 22; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 24; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P56371,reviewed,RAB4A_MOUSE,Ras-related protein Rab-4A (EC 3.6.5.2),Rab4a Rab4,Mus musculus (Mouse),218,"LIPID 216; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 218; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P56450,reviewed,MC4R_MOUSE,Melanocortin receptor 4 (MC4-R),Mc4r,Mus musculus (Mouse),332,"LIPID 318; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P56481,reviewed,GASR_MOUSE,Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R),Cckbr,Mus musculus (Mouse),453,"LIPID 414; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P17124"""
P56818,reviewed,BACE1_MOUSE,Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),Bace1 Bace,Mus musculus (Mouse),501,"LIPID 474; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19074428""; LIPID 478; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19074428""; LIPID 482; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19074428""; LIPID 485; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19074428"""
P58019,reviewed,CD59B_MOUSE,CD59B glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59),Cd59b,Mus musculus (Mouse),129,"LIPID 104; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
P59279,reviewed,RAB2B_MOUSE,Ras-related protein Rab-2B (EC 3.6.5.2),Rab2b,Mus musculus (Mouse),216,"LIPID 215; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 216; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P60202,reviewed,MYPR_MOUSE,Myelin proteolipid protein (PLP) (Lipophilin),Plp1 Plp,Mus musculus (Mouse),277,"LIPID 6; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 7; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 10; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 109; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 139; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 141; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 199; /note=""O-palmitoyl serine""; /evidence=""ECO:0000250"""
P60521,reviewed,GBRL2_MOUSE,Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16),Gabarapl2,Mus musculus (Mouse),117,"LIPID 116; /note=""Phosphatidylethanolamine amidated glycine; alternate""; /evidence=""ECO:0000250|UniProtKB:P60520""; LIPID 116; /note=""Phosphatidylserine amidated glycine; alternate""; /evidence=""ECO:0000250|UniProtKB:P60520"""
P60755,reviewed,MDGA2_MOUSE,MAM domain-containing glycosylphosphatidylinositol anchor protein 2 (MAM domain-containing protein 1),Mdga2 Mamdc1,Mus musculus (Mouse),949,"LIPID 924; /note=""GPI-anchor amidated aspartate""; /evidence=""ECO:0000255"""
P60764,reviewed,RAC3_MOUSE,Ras-related C3 botulinum toxin substrate 3 (EC 3.6.5.2) (p21-Rac3),Rac3,Mus musculus (Mouse),192,"LIPID 189; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P60766,reviewed,CDC42_MOUSE,Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein),Cdc42,Mus musculus (Mouse),191,"LIPID 188; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P60853,reviewed,LZTS1_MOUSE,Leucine zipper putative tumor suppressor 1 (F37/Esophageal cancer-related gene-coding leucine-zipper motif) (Fez1),Lzts1 Fez1,Mus musculus (Mouse),599,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P60879,reviewed,SNP25_MOUSE,Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein),Snap25 Snap,Mus musculus (Mouse),206,"LIPID 85; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:9349529""; LIPID 88; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:9349529""; LIPID 90; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:9349529""; LIPID 92; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:9349529"""
P61014,reviewed,PPLA_MOUSE,Cardiac phospholamban (PLB),Pln,Mus musculus (Mouse),52,"LIPID 36; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:26644582"""
P61021,reviewed,RAB5B_MOUSE,Ras-related protein Rab-5B (EC 3.6.5.2),Rab5b,Mus musculus (Mouse),215,"LIPID 212; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P20339""; LIPID 213; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P20339"""
P61022,reviewed,CHP1_MOUSE,Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22) (Sid 470) (p24),Chp1 Chp Sid470,Mus musculus (Mouse),195,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q99653"""
P61027,reviewed,RAB10_MOUSE,Ras-related protein Rab-10 (EC 3.6.5.2),Rab10,Mus musculus (Mouse),200,"LIPID 199; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 200; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P61028,reviewed,RAB8B_MOUSE,Ras-related protein Rab-8B,Rab8b,Mus musculus (Mouse),207,"LIPID 204; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P61168,reviewed,DRD2_MOUSE,D(2) dopamine receptor (Dopamine D2 receptor),Drd2,Mus musculus (Mouse),444,"LIPID 444; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P14416"""
P61226,reviewed,RAP2B_MOUSE,Ras-related protein Rap-2b (EC 3.6.5.2),Rap2b,Mus musculus (Mouse),183,"LIPID 176; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864""; LIPID 177; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864""; LIPID 180; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864"""
P61294,reviewed,RAB6B_MOUSE,Ras-related protein Rab-6B (EC 3.6.5.2),Rab6b D9Bwg0185e,Mus musculus (Mouse),208,"LIPID 206; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 208; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P61588,reviewed,RND3_MOUSE,Rho-related GTP-binding protein RhoE (Rho family GTPase 3) (Rnd3),Rnd3 Arhe Rhoe,Mus musculus (Mouse),244,"LIPID 241; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
P61750,reviewed,ARF4_MOUSE,ADP-ribosylation factor 4,Arf4,Mus musculus (Mouse),180,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P18085"""
P61809,reviewed,CD5R1_MOUSE,"Cyclin-dependent kinase 5 activator 1 (CDK5 activator 1) (Cyclin-dependent kinase 5 regulatory subunit 1) (TPKII regulatory subunit) [Cleaved into: Cyclin-dependent kinase 5 activator 1, p35 (p35); Cyclin-dependent kinase 5 activator 1, p25 (p25) (Tau protein kinase II 23 kDa subunit) (p23)]",Cdk5r1 Cdk5r Nck5a,Mus musculus (Mouse),307,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P62071,reviewed,RRAS2_MOUSE,Ras-related protein R-Ras2 (EC 3.6.5.-),Rras2,Mus musculus (Mouse),204,"LIPID 192; /note=""N6-palmitoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P62070""; LIPID 194; /note=""N6-palmitoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P62070""; LIPID 196; /note=""N6-palmitoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P62070""; LIPID 197; /note=""N6-palmitoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P62070""; LIPID 199; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P62070""; LIPID 201; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P62070"""
P62192,reviewed,PRS4_MOUSE,26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1),Psmc1,Mus musculus (Mouse),440,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000269|PubMed:16857966"""
P62242,reviewed,RS8_MOUSE,Small ribosomal subunit protein eS8 (40S ribosomal protein S8),Rps8,Mus musculus (Mouse),208,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P62241"""
P62281,reviewed,RS11_MOUSE,Small ribosomal subunit protein uS17 (40S ribosomal protein S11),Rps11,Mus musculus (Mouse),158,"LIPID 60; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P62280"""
P62331,reviewed,ARF6_MOUSE,ADP-ribosylation factor 6 (EC 3.6.5.2),Arf6,Mus musculus (Mouse),175,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P62330""; LIPID 3; /note=""N6-myristoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P62330"""
P62492,reviewed,RB11A_MOUSE,Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2),Rab11a Rab11,Mus musculus (Mouse),216,"LIPID 212; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P62491""; LIPID 213; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P62491"""
P62746,reviewed,RHOB_MOUSE,Rho-related GTP-binding protein RhoB,Rhob Arhb,Mus musculus (Mouse),196,"LIPID 189; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 192; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 193; /note=""S-farnesyl cysteine; in plasma membrane form""; /evidence=""ECO:0000250""; LIPID 193; /note=""S-geranylgeranyl cysteine; in endosomal form""; /evidence=""ECO:0000250"""
P62821,reviewed,RAB1A_MOUSE,Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein),Rab1A Rab1,Mus musculus (Mouse),205,"LIPID 204; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P62820""; LIPID 205; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P62820"""
P62823,reviewed,RAB3C_MOUSE,Ras-related protein Rab-3C,Rab3c,Mus musculus (Mouse),227,"LIPID 225; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 227; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P62835,reviewed,RAP1A_MOUSE,Ras-related protein Rap-1A (EC 3.6.5.2) (Ras-related protein Krev-1),Rap1a Krev-1,Mus musculus (Mouse),184,"LIPID 181; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P62834"""
P63001,reviewed,RAC1_MOUSE,Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (p21-Rac1),Rac1,Mus musculus (Mouse),192,"LIPID 189; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P63000"""
P63011,reviewed,RAB3A_MOUSE,Ras-related protein Rab-3A,Rab3a,Mus musculus (Mouse),220,"LIPID 218; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 220; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P63032,reviewed,RHES_MOUSE,GTP-binding protein Rhes (Ras homolog enriched in striatum),Rasd2,Mus musculus (Mouse),266,"LIPID 263; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
P63037,reviewed,DNJA1_MOUSE,DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2),Dnaja1 Dnaj2 Hsj2 Hspf4,Mus musculus (Mouse),397,"LIPID 394; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
P63094,reviewed,GNAS2_MOUSE,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein),Gnas Gnas1 MNCb-5546,Mus musculus (Mouse),394,"LIPID 2; /note=""N-palmitoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P04896""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:8227063"""
P63141,reviewed,KCNA2_MOUSE,Potassium voltage-gated channel subfamily A member 2 (MK2) (Voltage-gated potassium channel subunit Kv1.2),Kcna2,Mus musculus (Mouse),499,"LIPID 244; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P63321,reviewed,RALA_MOUSE,Ras-related protein Ral-A (EC 3.6.5.2),Rala Ral Ral-a,Mus musculus (Mouse),206,"LIPID 203; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P68181,reviewed,KAPCB_MOUSE,cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11),Prkacb Pkacb,Mus musculus (Mouse),351,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000269|PubMed:9368018"""
P68433,reviewed,H31_MOUSE,Histone H3.1,H3c1 H3a Hist1h3a; H3c8 H3.1-221 H3g Hist1h3g; H3c10 H3.1-291 H3h Hist1h3h; H3c11 H3.1-I H3i Hist1h3i,Mus musculus (Mouse),136,"LIPID 19; /note=""N6-decanoyllysine""; /evidence=""ECO:0000250|UniProtKB:P68431"""
P68500,reviewed,CNTN5_MOUSE,Contactin-5 (Neural recognition molecule NB-2),Cntn5,Mus musculus (Mouse),1098,"LIPID 1071; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
P70310,reviewed,NTR2_MOUSE,Neurotensin receptor type 2 (NT-R-2) (NTR2) (Low-affinity levocabastine-sensitive neurotensin receptor) (NTRL),Ntsr2,Mus musculus (Mouse),416,"LIPID 377; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P70313,reviewed,NOS3_MOUSE,"Nitric oxide synthase 3 (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (NOS type III) (NOSIII) (Nitric oxide synthase, endothelial) (Endothelial NOS) (eNOS)",Nos3 Ecnos,Mus musculus (Mouse),1202,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250""; LIPID 15; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 26; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P70701,reviewed,WN10A_MOUSE,Protein Wnt-10a,Wnt10a,Mus musculus (Mouse),417,"LIPID 268; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P84075,reviewed,HPCA_MOUSE,Neuron-specific calcium-binding protein hippocalcin,Hpca,Mus musculus (Mouse),193,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P84076"""
P84078,reviewed,ARF1_MOUSE,ADP-ribosylation factor 1 (EC 3.6.5.2),Arf1,Mus musculus (Mouse),181,"LIPID 2; /note=""N-myristoyl glycine; alternate""; /evidence=""ECO:0000250|UniProtKB:P84077"""
P84084,reviewed,ARF5_MOUSE,ADP-ribosylation factor 5,Arf5,Mus musculus (Mouse),180,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P84085"""
P84096,reviewed,RHOG_MOUSE,Rho-related GTP-binding protein RhoG (Sid 10750),Rhog Arhg Sid10750,Mus musculus (Mouse),191,"LIPID 188; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P84228,reviewed,H32_MOUSE,Histone H3.2 (H3-clustered histone 13) (H3-clustered histone 14) (H3-clustered histone 15) (H3-clustered histone 2) (H3-clustered histone 3) (H3-clustered histone 4) (H3-clustered histone 6) (H3-clustered histone 7),H3c2 H3-53 H3.2 H3b Hist1h3b; H3c3 H3-143 Hist1h3c; H3c4 H3-B Hist1h3d; H3c6 H3-F Hist1h3e; H3c7 H3.2-221 H3f Hist1h3f; H3c13 H3.2-616 Hist2h3b; H3c14 H3.2-615 Hist2h3c1 Hist2h3ca1; H3c15 H3.2-614 Hist2h3c2 Hist2h3ca2,Mus musculus (Mouse),136,"LIPID 19; /note=""N6-decanoyllysine""; /evidence=""ECO:0000250|UniProtKB:Q71DI3""; LIPID 111; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q71DI3"""
P84244,reviewed,H33_MOUSE,Histone H3.3,H3-3a H3.3a H3f3a; H3-3b H3.3b H3f3b,Mus musculus (Mouse),136,"LIPID 19; /note=""N6-decanoyllysine""; /evidence=""ECO:0000250|UniProtKB:P84243"""
P97288,reviewed,5HT4R_MOUSE,5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4),Htr4,Mus musculus (Mouse),388,"LIPID 329; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P97292,reviewed,HRH2_MOUSE,Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I),Hrh2,Mus musculus (Mouse),397,"LIPID 304; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P97295,reviewed,NPY2R_MOUSE,Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor),Npy2r,Mus musculus (Mouse),381,"LIPID 342; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P97348,reviewed,RHOD_MOUSE,Rho-related GTP-binding protein RhoD,Rhod Arhd Rhom,Mus musculus (Mouse),210,"LIPID 207; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P97428,reviewed,RGS16_MOUSE,Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (Retinally abundant regulator of G-protein signaling),Rgs16 Rgsr,Mus musculus (Mouse),201,"LIPID 2; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:10373502""; LIPID 12; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:10373502"""
P97714,reviewed,ADA1D_MOUSE,Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor),Adra1d Adra1a Gpcr8,Mus musculus (Mouse),562,"LIPID 413; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P97717,reviewed,ADA1B_MOUSE,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Adra1b,Mus musculus (Mouse),514,"LIPID 364; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P97718,reviewed,ADA1A_MOUSE,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor),Adra1a Adra1c,Mus musculus (Mouse),466,"LIPID 345; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P97766,reviewed,CFC1_MOUSE,Cryptic protein,Cfc1,Mus musculus (Mouse),202,"LIPID 166; /note=""GPI-anchor amidated aspartate""; /evidence=""ECO:0000250"""
